Location,Metric,Feature Combination,Individual,Joint,GNN,Complete
New Delhi,Mean Absolute Error (All),Relative Humidity,True,True,True,True
New Delhi,Mean Absolute Error (All),Temperature,True,True,True,True
New Delhi,Mean Absolute Error (All),Precipitable Water,True,True,True,True
New Delhi,Mean Absolute Error (All),Pressure,True,True,True,True
Shimla,Non-zero Values Percentage,ghi_only,True,True,True,True
Shimla,Non-zero Values Percentage,Wind Speed,True,True,True,True
Shimla,Non-zero Values Percentage,meteorological_only,True,True,True,True
Shimla,Non-zero Values Percentage,all,True,True,True,True
Shimla,Non-zero Values Percentage,Wind Direction,True,True,True,True
Shimla,Non-zero Values Percentage,Relative Humidity,True,True,True,True
Shimla,Non-zero Values Percentage,Temperature,True,True,True,True
Shimla,Non-zero Values Percentage,Precipitable Water,True,True,True,True
Shimla,Non-zero Values Percentage,Pressure,True,True,True,True
Shimla,Mean Squared Percentage Error (Non-zero),ghi_only,True,True,True,True
Shimla,Mean Squared Percentage Error (Non-zero),Wind Speed,True,True,True,True
Shimla,Mean Squared Percentage Error (Non-zero),meteorological_only,True,True,True,True
Shimla,Mean Squared Percentage Error (Non-zero),all,True,True,True,True
Shimla,Mean Squared Percentage Error (Non-zero),Wind Direction,True,True,True,True
Shimla,Mean Squared Percentage Error (Non-zero),Relative Humidity,True,True,True,True
Shimla,Mean Squared Percentage Error (Non-zero),Temperature,True,True,True,True
Shimla,Mean Squared Percentage Error (Non-zero),Precipitable Water,True,True,True,True
Shimla,Mean Squared Percentage Error (Non-zero),Pressure,True,True,True,True
Shimla,Mean Squared Percentage Error (All),ghi_only,True,True,True,True
Shimla,Mean Squared Percentage Error (All),Wind Speed,True,True,True,True
Shimla,Mean Squared Percentage Error (All),meteorological_only,True,True,True,True
Shimla,Mean Squared Percentage Error (All),all,True,True,True,True
Shimla,Mean Squared Percentage Error (All),Wind Direction,True,True,True,True
Shimla,Mean Squared Percentage Error (All),Relative Humidity,True,True,True,True
Shimla,Mean Squared Percentage Error (All),Temperature,True,True,True,True
Shimla,Mean Squared Percentage Error (All),Precipitable Water,True,True,True,True
Shimla,Mean Squared Percentage Error (All),Pressure,True,True,True,True
Shimla,Mean Absolute Percentage Error (Non-zero),ghi_only,True,True,True,True
Shimla,Mean Absolute Percentage Error (Non-zero),Wind Speed,True,True,True,True
Shimla,Mean Absolute Percentage Error (Non-zero),meteorological_only,True,True,True,True
Shimla,Mean Absolute Percentage Error (Non-zero),all,True,True,True,True
Shimla,Mean Absolute Percentage Error (Non-zero),Wind Direction,True,True,True,True
Shimla,Mean Absolute Percentage Error (Non-zero),Relative Humidity,True,True,True,True
Shimla,Mean Absolute Percentage Error (Non-zero),Temperature,True,True,True,True
Shimla,Mean Absolute Percentage Error (Non-zero),Precipitable Water,True,True,True,True
Shimla,Mean Absolute Percentage Error (Non-zero),Pressure,True,True,True,True
Shimla,Mean Absolute Percentage Error (All),ghi_only,True,True,True,True
Shimla,Mean Absolute Percentage Error (All),Wind Speed,True,True,True,True
Shimla,Mean Absolute Percentage Error (All),meteorological_only,True,True,True,True
